date	sip	dip	sport	dport	proto
2020-04-21 07:30:21.573796	192.168.1.171	224.0.0.251	5353	5353	UDP
2020-04-21 07:30:21.674633	192.168.1.171	224.0.0.251	5353	5353	UDP
2020-04-21 07:30:28.030328	192.168.1.170	239.255.255.250	40667	1900	UDP
2020-04-21 07:30:28.137840	192.168.1.170	224.0.0.251	5353	5353	UDP
2020-04-21 07:30:28.330615	192.168.1.170	239.255.255.250	40667	1900	UDP
2020-04-21 07:30:28.630872	192.168.1.170	239.255.255.250	40667	1900	UDP
2020-04-21 07:30:29.129195	192.168.1.170	224.0.0.251	5353	5353	UDP
2020-04-21 07:30:30.129348	192.168.1.170	224.0.0.251	5353	5353	UDP
2020-04-21 07:30:31.897235	192.168.1.1	239.255.255.250	59378	1900	UDP
2020-04-21 07:30:38.110321	192.168.1.170	239.255.255.250	42354	1900	UDP
2020-04-21 07:30:38.398805	192.168.1.170	239.255.255.250	42354	1900	UDP
2020-04-21 07:30:38.717593	192.168.1.170	239.255.255.250	42354	1900	UDP
2020-04-21 07:30:48.106037	192.168.1.170	239.255.255.250	42706	1900	UDP
2020-04-21 07:30:48.406627	192.168.1.170	239.255.255.250	42706	1900	UDP
2020-04-21 07:30:48.707256	192.168.1.170	239.255.255.250	42706	1900	UDP
2020-04-21 07:30:50.149771	192.168.1.170	224.0.0.251	5353	5353	UDP
2020-04-21 07:30:50.541257	192.168.1.151	192.168.1.1	50488	53	UDP
2020-04-21 07:30:50.541338	192.168.1.151	192.168.1.1	50488	53	UDP
2020-04-21 07:30:50.560367	192.168.1.151	23.40.62.19	50534	80	TCP
2020-04-21 07:30:50.573328	192.168.1.151	23.40.62.19	50534	80	TCP
2020-04-21 07:30:50.573657	192.168.1.151	23.40.62.19	50534	80	TCP
2020-04-21 07:30:50.585583	192.168.1.151	23.40.62.19	50534	80	TCP
2020-04-21 07:30:50.666271	192.168.1.151	192.168.1.1	50488	53	UDP
2020-04-21 07:30:50.666542	192.168.1.151	23.40.62.19	50536	80	TCP
2020-04-21 07:30:50.667742	192.168.1.151	192.168.1.1	50488	53	UDP
2020-04-21 07:30:50.667788	192.168.1.151	192.168.1.1	50488	53	UDP
2020-04-21 07:30:50.674301	192.168.1.151	23.40.62.19	50536	80	TCP
2020-04-21 07:30:50.674571	192.168.1.151	23.40.62.19	50536	80	TCP
2020-04-21 07:30:50.682068	192.168.1.151	192.168.1.1	50488	53	UDP
2020-04-21 07:30:50.682275	192.168.1.151	192.168.1.1	50488	53	UDP
2020-04-21 07:30:50.687956	192.168.1.151	23.40.62.19	50536	80	TCP
2020-04-21 07:30:50.929900	192.168.1.151	192.168.1.1	50488	53	UDP
2020-04-21 07:30:50.929989	192.168.1.151	192.168.1.1	50488	53	UDP
2020-04-21 07:30:50.974513	192.168.1.151	143.204.142.46	50520	443	TCP
2020-04-21 07:30:51.000785	192.168.1.151	143.204.142.46	50520	443	TCP
2020-04-21 07:30:51.003837	192.168.1.151	143.204.142.46	50520	443	TCP
2020-04-21 07:30:51.019092	192.168.1.151	143.204.142.46	50520	443	TCP
2020-04-21 07:30:51.019121	192.168.1.151	143.204.142.46	50520	443	TCP
2020-04-21 07:30:51.024118	192.168.1.151	143.204.142.46	50520	443	TCP
2020-04-21 07:30:51.099466	192.168.1.151	143.204.142.46	50520	443	TCP
2020-04-21 07:30:51.112341	192.168.1.151	143.204.142.46	50520	443	TCP
2020-04-21 07:30:51.112374	192.168.1.151	143.204.142.46	50520	443	TCP
2020-04-21 07:30:51.728172	192.168.1.151	143.204.142.46	50520	443	TCP
